,house_type,price,Hydro,Water,Heat,smoke,outdor_space,air_conditioning,appliances,furnished,pet_friendly,parking,size_S/Q,wifi_more,Bathrooms,Bedrooms
0,Basement,"$1,400",Yes,Yes,Yes,No,Yard,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,No,1,850,"['Cable / TV', 'Internet']",[' 1'],[' 2']
1,Apartment,"$2,395",Not Included,Not Included,Not Included,Outdoors only,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,793,['Not Included'],[' 2'],[' 2']
2,Condo,"$3,300",No,Yes,No,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,1,898,['Not Included'],[' 2'],[' 2']
3,Condo,"$2,100",No,Yes,No,No,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,Limited,1,"1,394","['Cable / TV', 'Internet']",[' 2.5'],[' 2']
4,Townhouse,"$2,499",No,Yes,No,No,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,"1,420",['Not Included'],[' 2.5'],[' 3']
5,Apartment,"$1,215",No,Yes,Yes,No,Not Included,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,Yes,0,709,['Not Included'],[' 1'],[' 1']
6,Apartment,"$1,400",Not Included,Not Included,Not Included,Outdoors only,Not Included,No,['Not Included'],No,No,1,Not Available,['Not Included'],[' 2.5'],[' 3']
7,Apartment,"$1,350",Not Included,Not Included,Not Included,No,Not Included,No,['Not Included'],No,Yes,0,Not Available,['Not Included'],[' 1'],[' 1']
8,Apartment,"$1,405",Not Included,Not Included,Not Included,No,Not Included,No,['Not Included'],No,Yes,0,Not Available,['Not Included'],[' 1'],[' 1']
9,Basement,$750,Not Included,Not Included,Not Included,Outdoors only,Not Included,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,1,Not Available,['Not Included'],[' 1'],[' 1']
10,Basement,"$1,295",Yes,Yes,Yes,Outdoors only,Not Included,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,Limited,1,Not Available,['Not Included'],[' 1'],[' 1']
11,Condo,$800,Not Included,Not Included,Not Included,Outdoors only,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,2,966,['Not Included'],[' 1.5'],[' 2']
12,Basement,$625,Yes,Yes,Yes,No,Yard,No,"['Laundry (In Building)', 'Fridge / Freezer']",Yes,No,1,480,['Internet'],[' 1'],[' 1']
13,Basement,$800,No,Yes,No,No,Balcony,No,['Laundry (In Building)'],No,No,1,150,['Not Included'],[' 1'],[' Bachelor/Studio']
14,Condo,"$1,650",No,Yes,No,No,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,1,584,['Not Included'],[' 1'],[' 1 + Den']
15,Apartment,"$2,400",No,Yes,No,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,No,1,900,['Not Included'],[' 2'],[' 2']
16,Basement,"$1,700",No,Yes,No,No,Yard,No,['Laundry (In Unit)'],No,Limited,1,800,['Not Included'],[' 1'],[' 2']
17,Condo,"$2,650",No,Yes,Yes,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,750,['Not Included'],[' 1'],[' 1 + Den']
18,House,"$1,850",No,Yes,No,No,Yard,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,No,0,"1,000",['Internet'],[' 2'],[' 2']
19,Condo,"$2,031",No,Yes,Yes,Yes,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,2,723,['Internet'],[' 1.5'],[' 2']
20,Apartment,"$2,092",Yes,Yes,No,Outdoors only,Balcony,Yes,"['Laundry (In Building)', 'Fridge / Freezer']",No,Yes,1,708,['Cable / TV'],[' 1'],[' 1']
21,Apartment,"$2,089",No,Yes,Yes,Outdoors only,Balcony,Yes,"['Laundry (In Building)', 'Fridge / Freezer']",No,Yes,1,705,['Internet'],[' 1'],[' 1']
22,Condo,"$2,068",No,Yes,Yes,Yes,Yard,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,2,725,['Internet'],[' 1.5'],[' 1 + Den']
23,Apartment,"$2,082",No,Yes,Yes,Yes,Balcony,Yes,"['Laundry (In Building)', 'Fridge / Freezer']",No,Yes,1,703,['Cable / TV'],[' 1'],[' 1']
24,Apartment,"$2,395",Not Included,Not Included,Not Included,Outdoors only,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,793,['Not Included'],[' 2'],[' 2']
25,Apartment,"$1,527",Not Included,Not Included,Not Included,Outdoors only,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,358,['Not Included'],[' 1'],[' Bachelor/Studio']
26,House,Please Contact,No,Yes,No,No,Yard,No,"['Laundry (In Unit)', 'Fridge / Freezer']",No,No,2,950,"['Cable / TV', 'Internet']",[' 1'],[' 2']
27,Condo,"$2,084",No,Yes,Yes,Outdoors only,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,2,720,['Cable / TV'],[' 1.5'],[' 2']
28,Apartment,"$2,043",No,Yes,Yes,Outdoors only,Balcony,Yes,"['Laundry (In Building)', 'Fridge / Freezer']",No,Yes,1,701,['Cable / TV'],[' 1'],[' 1']
29,Basement,"$1,800",Yes,Yes,Yes,Outdoors only,Not Included,No,"['Laundry (In Unit)', 'Fridge / Freezer']",No,Limited,1,"1,000",['Internet'],[' 1'],[' 3']
30,House,"$2,600",No,Yes,No,Outdoors only,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,2,"1,424",['Not Included'],[' 2'],[' 3']
31,House,"$2,100",No,Yes,No,No,Yard,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,3+,"1,400",['Not Included'],[' 2'],[' 3']
32,Condo,"$2,011",Yes,Yes,No,Outdoors only,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,2,719,['Cable / TV'],[' 1.5'],[' 2']
33,Apartment,"$2,094",No,Yes,Yes,Yes,Balcony,Yes,"['Laundry (In Building)', 'Fridge / Freezer']",No,Yes,1,700,['Internet'],[' 1'],[' 1']
34,Apartment,"$1,898",Not Included,Not Included,Not Included,Outdoors only,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,554,['Not Included'],[' 1'],[' 1']
35,House,"$2,000",Not Included,Not Included,Not Included,No,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,2,900,['Not Included'],[' 1.5'],[' 2']
36,Condo,"$1,300",No,Yes,No,No,Balcony,No,['Laundry (In Unit)'],No,No,1,850,['Not Included'],[' 2'],[' 2']
37,House,"$5,500",Yes,Yes,Yes,No,Yard,Yes,"['Laundry (In Unit)', 'Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",Yes,No,3+,"2,500","['Cable / TV', 'Internet']",[' 2'],[' 5+']
38,Apartment,$995,Yes,Yes,Yes,No,Not Included,Yes,['Laundry (In Building)'],Yes,No,0,315,['Internet'],[' 1'],[' Bachelor/Studio']
39,Basement,"$1,850",Yes,Yes,Yes,No,Not Included,No,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,750,"['Cable / TV', 'Internet']",[' 1'],[' 1']
40,Basement,"$1,700",Yes,Yes,Yes,No,Not Included,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,0,650,['Not Included'],[' 1'],[' 1']
41,House,"$2,100",No,Yes,No,Outdoors only,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,0,"1,200",['Not Included'],[' 1'],[' 3']
42,Apartment,"$1,380",No,Yes,Yes,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,1,501,['Not Included'],[' 1'],[' 1']
43,Apartment,"$1,720",No,Yes,No,No,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,886,['Internet'],[' 2'],[' 2']
44,Apartment,"$1,695",Not Included,Not Included,Not Included,No,Balcony,No,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,No,0,750,['Not Included'],[' 1'],[' 2']
45,Apartment,"$1,720",No,Yes,No,No,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,886,['Internet'],[' 2'],[' 2']
46,Apartment,"$2,395",Not Included,Not Included,Not Included,Outdoors only,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,793,['Not Included'],[' 2'],[' 2']
47,Townhouse,"$2,499",No,Yes,No,No,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,"1,420",['Not Included'],[' 2.5'],[' 3']
48,Condo,"$3,300",No,Yes,No,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,1,898,['Not Included'],[' 2'],[' 2']
49,Apartment,$995,Yes,Yes,Yes,No,Not Included,Yes,['Laundry (In Building)'],Yes,No,0,315,['Internet'],[' 1'],[' Bachelor/Studio']
50,Condo,"$2,500",Yes,Yes,Yes,No,Balcony,No,['Laundry (In Unit)'],Yes,No,1,560,['Not Included'],[' 1'],[' 1']
51,Apartment,"$1,875",Not Included,Not Included,Not Included,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,1,760,['Not Included'],[' 1'],[' 1 + Den']
52,House,"$2,300",No,Yes,No,Outdoors only,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,850,['Not Included'],[' 1.5'],[' 3']
53,Condo,"$2,575",No,Yes,Yes,No,Not Included,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,1,735,['Not Included'],[' 1'],[' 1']
54,House,"$1,200",No,Yes,No,No,Yard,No,"['Laundry (In Unit)', 'Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,1,800,['Not Included'],[' 1'],[' 2']
55,Basement,$850,Yes,Yes,Yes,No,Yard,No,['Fridge / Freezer'],Yes,No,0,500,['Internet'],[' 1'],[' 1']
56,House,"$2,500",No,Yes,No,Outdoors only,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,3+,"2,350",['Not Included'],[' 1'],[' 3']
57,Duplex/Triplex,"$1,650",Not Included,Not Included,Not Included,No,Yard,No,"['Laundry (In Unit)', 'Fridge / Freezer']",No,No,1,"1,200",['Not Included'],[' 1.5'],[' 3']
58,Basement,"$1,030",Yes,Yes,Yes,No,Yard,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,No,1,750,['Internet'],[' 1'],[' 1']
59,Condo,"$2,200",No,Yes,No,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,890,['Not Included'],[' 2'],[' 2']
60,Duplex/Triplex,"$1,400",Not Included,Not Included,Not Included,No,Yard,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,2,"1,900",['Not Included'],[' 2'],[' 3']
61,Townhouse,"$2,499",No,Yes,No,No,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,"1,420",['Not Included'],[' 2.5'],[' 3']
62,Basement,"$1,800",No,Yes,No,No,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,Yes,1,"1,000",['Internet'],[' 1'],[' 2']
63,Basement,"$1,550",Yes,Yes,Yes,No,Not Included,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,0,900,['Not Included'],[' 1'],[' 2']
64,Basement,"$1,600",Yes,Yes,Yes,No,Yard,Yes,['Laundry (In Unit)'],No,No,1,"1,000",['Not Included'],[' 1'],[' 2']
65,Condo,"$2,300",No,Yes,No,No,Not Included,No,['Laundry (In Unit)'],No,Yes,1,593,['Not Included'],[' 1'],[' 1 + Den']
66,Duplex/Triplex,$895,Yes,Yes,Yes,No,Yard,No,['Fridge / Freezer'],No,Yes,0,500,['Not Included'],[' 1'],[' 1 + Den']
67,House,"$1,495",No,Yes,No,No,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,2,898,['Not Included'],[' 1'],[' 3']
68,Condo,"$2,350",Not Included,Not Included,Not Included,No,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,831,['Not Included'],[' 2'],[' 2']
69,Apartment,Please Contact,No,No,Yes,No,Not Included,No,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,678,['Not Included'],[' 1'],[' 1']
70,Basement,"$1,850",Yes,Yes,Yes,Outdoors only,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,"1,000",['Not Included'],[' 1'],[' 2']
71,Apartment,"$1,900",Not Included,Not Included,Not Included,No,Yard,No,"['Laundry (In Unit)', 'Fridge / Freezer']",No,No,1,"1,200",['Not Included'],[' 1'],[' 2 + Den']
72,House,"$1,500",Yes,Yes,Yes,No,Not Included,No,['Fridge / Freezer'],No,No,0,600,['Internet'],[' 1'],[' 2']
73,Apartment,"$1,900",No,Yes,No,No,Balcony,No,['Laundry (In Unit)'],No,No,1,743,['Not Included'],[' 1'],[' 1']
74,Condo,"$1,900",No,Yes,No,No,Balcony,Yes,"['Laundry (In Unit)', 'Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,1,917,['Not Included'],[' 1'],[' 2']
75,House,"$2,000",No,Yes,No,No,Balcony,No,"['Laundry (In Building)', 'Fridge / Freezer']",Yes,No,1,700,['Not Included'],[' 1'],[' 2']
76,Apartment,"$2,150",No,Yes,No,No,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,1,631,['Not Included'],[' 1'],[' 2']
77,House,"$1,800",No,Yes,No,Outdoors only,Yard,No,"['Laundry (In Unit)', 'Fridge / Freezer']",No,Yes,2,975,['Not Included'],[' 1'],[' 2']
78,Condo,"$2,850",Yes,Yes,Yes,Outdoors only,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,1,710,['Not Included'],[' 2'],[' 2']
79,Basement,Please Contact,Yes,Yes,Yes,Outdoors only,Not Included,Yes,"['Laundry (In Building)', 'Fridge / Freezer']",No,Limited,0,400,['Not Included'],[' 1'],[' Bachelor/Studio']
80,Condo,"$2,399",Yes,Yes,Yes,No,Not Included,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,No,0,620,"['Cable / TV', 'Internet']",[' 1'],[' 1 + Den']
81,Basement,"$1,500",No,Yes,No,No,Not Included,No,"['Laundry (In Unit)', 'Fridge / Freezer']",No,No,0,1,['Not Included'],[' 1'],[' 2']
82,Condo,"$2,980",No,Yes,No,No,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,Limited,2,"1,380",['Not Included'],[' 2'],[' 3']
83,House,Please Contact,Not Included,Not Included,Not Included,Outdoors only,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,3+,"1,700",['Not Included'],[' 1.5'],[' 4']
84,Apartment,"$1,750",No,Yes,No,No,Balcony,No,['Laundry (In Unit)'],Yes,No,1,700,['Not Included'],[' 1'],[' 1 + Den']
85,Apartment,"$2,400",Yes,Yes,Yes,No,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,0,806,['Internet'],[' 1'],[' 2']
86,Basement,"$1,400",Not Included,Not Included,Not Included,No,Not Included,No,"['Laundry (In Unit)', 'Fridge / Freezer']",No,No,0,"1,000",['Not Included'],[' 1'],[' 2']
87,Basement,Please Contact,Yes,Yes,Yes,No,Not Included,No,"['Laundry (In Unit)', 'Fridge / Freezer']",No,Limited,0,900,['Cable / TV'],[' 1'],[' 2']
88,Basement,"$1,580",Yes,No,No,No,Not Included,No,"['Laundry (In Unit)', 'Fridge / Freezer']",No,No,2,800,['Not Included'],[' 1'],[' 2']
89,Duplex/Triplex,"$3,600",Not Included,Not Included,Not Included,No,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,2,"2,050",['Not Included'],[' 2'],[' 4']
90,Townhouse,"$2,499",No,Yes,No,No,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,"1,420",['Not Included'],[' 2.5'],[' 3']
91,Basement,"$1,400",Yes,Yes,Yes,No,Balcony,No,['Laundry (In Building)'],No,No,1,900,"['Cable / TV', 'Internet']",[' 1'],[' 2']
92,Condo,"$1,500",Not Included,Not Included,Not Included,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,577,['Not Included'],[' 1'],[' 1']
93,Condo,"$3,300",No,Yes,No,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,1,898,['Not Included'],[' 2'],[' 2']
94,Apartment,"$2,395",Not Included,Not Included,Not Included,Outdoors only,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,793,['Not Included'],[' 2'],[' 2']
95,Basement,"$1,700",Yes,No,Yes,No,Not Included,No,"['Laundry (In Unit)', 'Fridge / Freezer']",No,No,0,900,['Internet'],[' 1'],[' 2']
96,Duplex/Triplex,"$3,600",Not Included,Not Included,Not Included,No,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,2,"2,050",['Not Included'],[' 2'],[' 4']
97,Basement,"$2,000",Yes,Yes,Yes,No,Not Included,No,"['Laundry (In Unit)', 'Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",Yes,No,2,700,"['Cable / TV', 'Internet']",[' 1'],[' 1']
98,Basement,"$1,800",Yes,Yes,Yes,Outdoors only,Yard,No,"['Laundry (In Unit)', 'Fridge / Freezer']",No,No,2,"1,000",['Internet'],[' 2'],[' 3']
99,Condo,"$2,000",Yes,Yes,No,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,542,['Internet'],[' 1'],[' 1']
100,House,Please Contact,Not Included,Not Included,Not Included,Outdoors only,Yard,Yes,"['Laundry (In Unit)', 'Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,3+,"1,140",['Not Included'],[' 1'],[' 3']
101,Condo,"$2,550",No,Yes,Yes,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,1,913,['Not Included'],[' 2'],[' 2']
102,Basement,"$1,250",Yes,No,Yes,No,Not Included,No,['Fridge / Freezer'],No,No,1,925,['Internet'],[' 1'],[' 2']
103,House,Please Contact,Not Included,Not Included,Not Included,No,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,1,768,['Not Included'],[' 1'],[' 2']
104,Condo,"$2,200",No,Yes,No,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,1,728,['Not Included'],[' 1'],[' 2']
105,House,$120,No,Yes,No,No,Yard,No,['Laundry (In Unit)'],No,No,1,10,['Internet'],[' 1'],[' 1']
106,House,"$1,570",No,Yes,No,No,Not Included,No,['Laundry (In Unit)'],No,No,0,750,['Not Included'],[' 1'],[' 2']
107,Condo,"$1,790",No,Yes,No,No,Balcony,No,['Laundry (In Building)'],No,No,0,650,['Not Included'],[' 1'],[' 1']
108,Condo,"$2,000",No,Yes,No,No,Balcony,Yes,['Laundry (In Unit)'],No,Yes,1,900,['Not Included'],[' 2'],[' 2']
109,Condo,"$2,650",No,Yes,Yes,No,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,2,940,['Not Included'],[' 2'],[' 2']
110,Basement,"$1,400",No,Yes,No,No,Not Included,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,900,['Not Included'],[' 1'],[' 1']
111,Basement,"$1,500",Not Included,Not Included,Not Included,No,Not Included,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,720,['Not Included'],[' 1'],[' 1']
112,Basement,"$1,650",Yes,Yes,Yes,Outdoors only,Not Included,Yes,"['Laundry (In Unit)', 'Fridge / Freezer']",No,No,2,"1,000",['Not Included'],[' 1'],[' 3']
113,Basement,"$1,300",No,Yes,No,Outdoors only,Yard,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,Limited,1,"1,000",['Internet'],[' 1'],[' 1 + Den']
114,Duplex/Triplex,"$1,600",Not Included,Not Included,Not Included,No,Yard,No,['Laundry (In Unit)'],Yes,Yes,2,"1,750",['Not Included'],[' 2'],[' 3']
115,Apartment,"$1,595",No,Yes,No,No,Not Included,No,['Not Included'],No,No,0,849,['Not Included'],[' 2'],[' 2']
116,Apartment,"$1,000",No,Yes,No,No,Not Included,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,No,1,Not Available,['Not Included'],[' 1'],[' 1']
117,Apartment,"$1,594",No,Yes,Yes,No,Balcony,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,Yes,0,543,['Not Included'],[' 1'],[' Bachelor/Studio']
118,Apartment,"$2,891",No,Yes,Yes,No,Not Included,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,Yes,0,850,['Not Included'],[' 1'],[' 2']
119,Apartment,"$1,400",Not Included,Not Included,Not Included,No,Not Included,No,['Not Included'],No,Yes,0,Not Available,['Not Included'],[' 1'],[' 1']
120,House,"$4,000",No,Yes,No,No,Yard,Yes,"['Laundry (In Unit)', 'Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",Yes,No,3+,"2,200",['Not Included'],[' 2'],[' 4']
121,Apartment,"$1,800",Not Included,Not Included,Not Included,No,Balcony,Yes,['Laundry (In Unit)'],No,No,1,580,['Not Included'],[' 1'],[' 1']
122,Apartment,"$5,000",Not Included,Not Included,Not Included,Outdoors only,Balcony,No,['Laundry (In Unit)'],No,No,2,"1,132",['Not Included'],[' 2'],[' 3']
123,House,"$4,500",Not Included,Not Included,Not Included,No,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,2,"3,100",['Internet'],[' 3.5'],[' 4 + Den']
124,Condo,"$2,200",No,Yes,No,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,"1,132",['Not Included'],[' 2'],[' 2']
125,Duplex/Triplex,"$2,300",Yes,Yes,Yes,Outdoors only,Yard,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,No,2,"1,500","['Cable / TV', 'Internet']",[' 2'],[' 3 + Den']
126,Apartment,"$1,295",No,Yes,Yes,No,Balcony,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,No,0,425,['Not Included'],[' 1'],[' Bachelor/Studio']
127,Apartment,"$2,091",Yes,Yes,No,Outdoors only,Balcony,Yes,"['Laundry (In Building)', 'Fridge / Freezer']",No,Yes,1,711,['Cable / TV'],[' 1'],[' 1']
128,Condo,"$2,067",No,Yes,Yes,Outdoors only,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,2,725,['Internet'],[' 1.5'],[' 2']
129,Apartment,"$2,075",No,Yes,Yes,Outdoors only,Balcony,Yes,"['Laundry (In Building)', 'Fridge / Freezer']",No,Yes,1,712,['Internet'],[' 1'],[' 1']
130,Condo,"$2,086",No,Yes,Yes,Outdoors only,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,2,726,['Internet'],[' 1.5'],[' 2']
131,Duplex/Triplex,"$1,600",Yes,Yes,Yes,No,Balcony,Yes,['Laundry (In Unit)'],Yes,No,1,900,"['Cable / TV', 'Internet']",[' 1'],[' 2']
132,Condo,"$2,099",Yes,Yes,No,Outdoors only,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,2,728,['Cable / TV'],[' 1.5'],[' 2']
133,Townhouse,"$1,700",Not Included,Not Included,Not Included,Outdoors only,Yard,No,"['Laundry (In Unit)', 'Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",Yes,Yes,3+,"1,200",['Not Included'],[' 2.5'],[' 3']
134,Apartment,"$2,084",No,Yes,Yes,Outdoors only,Balcony,Yes,"['Laundry (In Building)', 'Fridge / Freezer']",No,Yes,1,715,['Internet'],[' 1'],[' 1']
135,Apartment,"$2,250",No,Yes,Yes,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,1,766,['Not Included'],[' 1.5'],[' 2']
136,Basement,"$1,400",Yes,Yes,Yes,No,Balcony,No,['Laundry (In Building)'],No,No,1,900,"['Cable / TV', 'Internet']",[' 1'],[' 2']
137,Apartment,"$1,720",No,Yes,No,No,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,886,['Internet'],[' 2'],[' 2']
138,Basement,"$1,100",Yes,Yes,Yes,No,Not Included,No,['Fridge / Freezer'],No,No,0,500,['Internet'],[' 1'],[' 1']
139,Apartment,"$2,395",Not Included,Not Included,Not Included,Outdoors only,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,793,['Not Included'],[' 2'],[' 2']
140,Apartment,"$1,875",Not Included,Not Included,Not Included,Outdoors only,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,1,738,['Not Included'],[' 1'],[' 1']
141,Basement,$450,Yes,Yes,Yes,No,Not Included,No,['Laundry (In Building)'],Yes,No,1,650,['Internet'],[' 1'],[' 3']
142,Condo,"$1,800",Yes,Yes,Yes,No,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,"1,100",['Not Included'],[' 2'],[' 2 + Den']
143,House,"$1,300",Yes,Yes,Yes,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,690,['Internet'],[' 1'],[' 1']
144,House,$925,Yes,Yes,Yes,No,Not Included,No,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",Yes,No,1,1,['Internet'],[' 1'],[' 1']
145,Apartment,"$1,300",Not Included,Not Included,Not Included,No,Not Included,No,['Not Included'],No,Yes,0,Not Available,['Not Included'],[' 1'],[' 1']
146,Duplex/Triplex,"$1,650",No,Yes,No,Yes,Not Included,No,['Laundry (In Unit)'],No,Limited,0,"1,360",['Not Included'],[' 1'],[' 5+']
147,House,"$1,250",Yes,Yes,Yes,No,Not Included,No,['Fridge / Freezer'],No,No,0,450,['Not Included'],[' 1'],[' 1']
148,Apartment,"$1,850",No,Yes,Yes,No,Balcony,No,['Laundry (In Building)'],No,No,0,740,['Not Included'],[' 1'],[' 1']
149,Apartment,"$1,875",No,Yes,Yes,No,Balcony,No,['Laundry (In Building)'],No,No,0,505,['Not Included'],[' 1'],[' 1']
