,house_type,price,Hydro,Water,Heat,smoke,outdor_space,air_conditioning,appliances,furnished,pet_friendly,parking,size_S/Q,wifi_more,Bathrooms,Bedrooms
857,Apartment,$795,Yes,Yes,Yes,Yes,Not Included,No,['Laundry (In Building)'],Yes,Yes,3+,320,"['Cable / TV', 'Internet']",[' 1'],[' Bachelor/Studio']
858,Condo,"$3,300",No,Yes,No,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,1,898,['Not Included'],[' 2'],[' 2']
859,Apartment,"$2,395",Not Included,Not Included,Not Included,Outdoors only,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,793,['Not Included'],[' 2'],[' 2']
860,Apartment,"$1,850",No,Yes,Yes,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,0,Not Available,['Not Included'],[' 1'],[' 1']
861,Apartment,"$2,650",No,Yes,Yes,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,0,Not Available,['Not Included'],[' 2'],[' 3']
862,Apartment,"$1,350",Not Included,Not Included,Not Included,No,Not Included,No,['Not Included'],No,Yes,0,Not Available,['Not Included'],[' 1'],[' 1']
863,Apartment,"$1,895",Not Included,Not Included,Not Included,No,Not Included,No,"['Laundry (In Unit)', 'Fridge / Freezer']",No,Limited,1,509,['Not Included'],[' 1'],[' Bachelor/Studio']
864,Apartment,Please Contact,No,No,Yes,No,Not Included,No,"['Dishwasher', 'Fridge / Freezer']",No,Yes,0,621,['Not Included'],[' 1'],[' 1']
865,Apartment,"$2,100",Yes,No,Yes,No,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,0,Not Available,['Not Included'],[' 2'],[' 2']
866,Apartment,Please Contact,No,Yes,Yes,No,Not Included,No,['Fridge / Freezer'],No,Yes,0,Not Available,['Not Included'],[' 1'],[' Bachelor/Studio']
867,Basement,$850,Not Included,Not Included,Not Included,Outdoors only,Not Included,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,1,Not Available,['Not Included'],[' 1'],[' 2']
868,Condo,"$2,395",No,Yes,Yes,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,No,1,899,"['Cable / TV', 'Internet']",[' 2'],[' 2']
869,Condo,"$1,800",Not Included,Not Included,Not Included,No,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,1,591,['Not Included'],[' 1'],[' 1']
870,Basement,"$1,350",Yes,Yes,Yes,No,Balcony,No,['Fridge / Freezer'],No,No,2,"1,000",['Not Included'],[' 1'],[' 2']
872,Apartment,"$1,520",Not Included,Not Included,Not Included,No,Not Included,No,['Not Included'],No,Yes,0,619,['Not Included'],[' 1'],[' 1']
873,Basement,"$1,750",Yes,Yes,Yes,No,Not Included,Yes,"['Laundry (In Unit)', 'Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,1,980,['Not Included'],[' 1'],[' 2']
874,Apartment,"$1,735",No,Yes,No,No,Not Included,No,['Not Included'],No,No,0,804,['Not Included'],[' 1'],[' 2']
875,Basement,"$1,500",No,Yes,No,Outdoors only,Yard,No,"['Laundry (In Unit)', 'Fridge / Freezer']",No,Yes,0,800,['Not Included'],[' 1'],[' 1']
876,Apartment,"$1,850",Not Included,Not Included,Not Included,No,Not Included,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,67,['Not Included'],[' 1'],[' 1']
877,Apartment,"$1,150",Yes,Yes,Yes,Outdoors only,Yard,No,"['Dishwasher', 'Fridge / Freezer']",Yes,No,2,630,"['Cable / TV', 'Internet']",[' 1'],[' 1']
878,Apartment,"$1,450",Yes,Yes,Yes,No,Not Included,No,"['Laundry (In Unit)', 'Fridge / Freezer']",No,No,2,"1,000",['Not Included'],[' 1'],[' 3']
879,House,"$3,500",No,Yes,No,No,Yard,No,"['Laundry (In Unit)', 'Fridge / Freezer']",No,No,2,"1,900",['Not Included'],[' 2'],[' 5+']
880,Apartment,$639,No,Yes,No,Outdoors only,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,952,"['Cable / TV', 'Internet']",[' 2'],[' 2']
881,Basement,"$1,200",Yes,Yes,Yes,No,Yard,No,['Fridge / Freezer'],No,No,0,950,['Not Included'],[' 1'],[' 2']
882,House,"$1,500",Not Included,Not Included,Not Included,No,Yard,No,['Laundry (In Unit)'],No,Limited,3+,"1,900",['Not Included'],[' 1.5'],[' 3 + Den']
883,Apartment,"$2,550",Not Included,Not Included,Not Included,No,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,887,['Not Included'],[' 2'],[' 2']
884,House,$900,Yes,Yes,Yes,No,Yard,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,No,0,"1,200",['Internet'],[' 1'],[' 1']
885,House,"$1,550",Not Included,Not Included,Not Included,Outdoors only,Yard,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Limited,2,"1,000",['Not Included'],[' 2'],[' 3']
886,Condo,"$2,500",Yes,Yes,Yes,No,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",Yes,Yes,1,913,['Internet'],[' 2'],[' 2']
887,House,"$1,500",Yes,Yes,Yes,No,Yard,No,"['Laundry (In Unit)', 'Fridge / Freezer']",Yes,No,1,900,['Internet'],[' 1'],[' 2']
888,House,"$3,100",No,Yes,No,Outdoors only,Yard,No,"['Laundry (In Unit)', 'Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,3+,"2,300",['Not Included'],[' 2'],[' 4 + Den']
889,Apartment,"$1,675",Not Included,Not Included,Not Included,No,Not Included,No,['Not Included'],No,Yes,0,Not Available,['Not Included'],[' 1'],[' 1']
890,Apartment,"$1,795",No,Yes,Yes,No,Balcony,No,['Laundry (In Building)'],No,No,0,621,['Not Included'],[' 1'],[' 1']
891,Apartment,"$1,295",Not Included,Not Included,Not Included,No,Not Included,No,['Not Included'],No,Yes,0,Not Available,['Not Included'],[' 1'],[' 1']
892,Duplex/Triplex,$900,Not Included,Not Included,Not Included,Outdoors only,Not Included,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,2,950,['Not Included'],[' 1'],[' 2']
893,House,"$1,900",Not Included,Not Included,Not Included,No,Balcony,No,"['Laundry (In Unit)', 'Fridge / Freezer']",No,No,0,700,['Not Included'],[' 2'],[' 1']
894,House,"$1,750",No,Yes,No,No,Yard,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,3+,"1,200",['Not Included'],[' 1'],[' 3']
